"Non-binary, genderqueer, or gender non-conforming",,,DBA/Database Engineer,F#,Bachelor's degree,Management information systems,More than 10 years,A doctoral degree
Female,United States,30,,Python,Master's degree,Computer Science,Less than a year,A bachelor's degree
Male,Canada,28,,R,Master's degree,Engineering (non-computer focused),3 to 5 years,A bachelor's degree
Male,United States,56,Operations Research Practitioner,Python,Master's degree,Mathematics or statistics,More than 10 years,High school
Male,Taiwan,38,Computer Scientist,Python,Doctoral degree,Engineering (non-computer focused),More than 10 years,Primary/elementary school
Male,Brazil,46,Data Scientist,Python,Doctoral degree,Electrical Engineering,6 to 10 years,A bachelor's degree
Male,United States,35,Computer Scientist,R,Master's degree,Electrical Engineering,More than 10 years,A master's degree
Female,India,22,Software Developer/Software Engineer,SQL,Bachelor's degree,Computer Science,1 to 2 years,A bachelor's degree
Female,Australia,43,Business Analyst,Python,Bachelor's degree,,3 to 5 years,A doctoral degree
Male,Russia,33,Software Developer/Software Engineer,Python,Bachelor's degree,Other,1 to 2 years,A bachelor's degree
Female,Russia,20,,Python,Bachelor's degree,Computer Science,,A bachelor's degree
Male,India,27,Data Scientist,Python,Bachelor's degree,Electrical Engineering,3 to 5 years,
Male,Brazil,26,Engineer,R,Doctoral degree,Mathematics or statistics,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,Netherlands,54,,,,,,
Male,Taiwan,26,Software Developer/Software Engineer,Python,Master's degree,Computer Science,1 to 2 years,A bachelor's degree
Male,United States,58,DBA/Database Engineer,R,Master's degree,Mathematics or statistics,More than 10 years,A doctoral degree
Male,Italy,58,,,,,,
Male,United Kingdom,24,,,,,,
Male,United States,26,,Python,Bachelor's degree,Other,Less than a year,A bachelor's degree
Male,Brazil,39,,Python,Master's degree,Electrical Engineering,3 to 5 years,Primary/elementary school
Male,United States,49,Scientist/Researcher,Java,Master's degree,Biology,More than 10 years,A bachelor's degree
Male,United States,25,Researcher,Python,Bachelor's degree,Physics,3 to 5 years,A master's degree
Male,United States,33,Scientist/Researcher,Matlab,Doctoral degree,Electrical Engineering,Less than a year,A bachelor's degree
