,age,total_pageviews,edu,edu_ages,user_level,industry,value_level,act_level,sex,blue_money,red_money,work_hours,region,labels,pro1,pro2
0,61,243019,10,1,2,7,2,1,1,0,0,40,1,0,0.504052767,0.495947233
1,33,215596,4,5,2,7,2,5,1,0,0,40,6,0,0.507485978,0.492514022
2,25,31350,2,10,1,5,1,1,1,0,0,40,1,0,0.511622791,0.488377209
3,23,246965,2,10,1,10,4,2,1,0,0,40,1,0,0.515246536,0.484753464
4,28,99838,1,13,1,2,1,1,1,0,0,38,5,0,0.505786907,0.494213093
5,40,340797,2,10,1,10,1,2,0,0,0,40,1,0,0.510112892,0.489887108
6,51,29937,2,9,7,12,1,4,0,0,0,20,1,0,0.510881079,0.489118921
7,38,30056,2,10,2,5,2,1,1,0,0,40,1,0,0.504233616,0.495766384
8,32,309903,8,6,1,5,5,1,0,0,0,25,1,0,0.517279154,0.482720846
9,55,256984,2,10,2,5,2,2,1,0,0,40,1,0,0.503749722,0.496250278
10,22,181723,2,10,2,9,2,1,1,0,0,30,12,0,0.511132903,0.488867097
11,37,101020,1,13,5,2,1,1,1,4787,0,55,1,1,0.499742486,0.500257514
12,44,106900,1,13,3,7,1,1,1,0,0,40,1,0,0.503744337,0.496255663
13,24,195770,2,10,1,2,4,1,1,0,0,40,1,0,0.511590557,0.488409443
14,49,102737,5,11,3,7,1,1,1,0,0,40,1,0,0.506046693,0.493953307
15,35,191779,2,10,2,7,2,1,1,0,0,40,1,0,0.502398255,0.497601745
16,56,99479,2,10,2,6,2,1,1,5013,0,46,1,0,0.502957576,0.497042424
17,62,196891,1,13,2,2,2,1,1,0,0,40,1,1,0.498252198,0.501747802
18,19,208066,2,10,1,12,4,1,0,0,0,40,1,0,0.519085242,0.480914758
19,31,54341,2,9,2,3,2,1,1,0,0,45,1,0,0.503482856,0.496517144
20,21,140001,2,10,1,3,4,1,1,0,0,30,1,0,0.520370525,0.479629475
21,26,248220,2,9,2,1,2,1,1,0,0,40,1,0,0.50549216,0.49450784
22,53,172962,2,15,2,4,2,1,1,0,0,40,1,1,0.495542024,0.504457976
23,37,88215,3,14,1,4,1,3,0,0,0,40,29,0,0.505037816,0.494962184
24,18,110142,2,7,1,6,4,1,0,0,0,15,1,0,0.611138855,0.388861145
25,41,136986,2,10,1,7,1,1,1,0,0,40,1,0,0.506644234,0.493355766
26,52,206775,2,9,2,8,2,1,1,0,0,40,1,0,0.50174992,0.49825008
27,50,53497,2,9,1,2,1,1,1,0,0,40,1,0,0.50500158,0.49499842
28,22,238534,2,10,2,6,3,1,0,0,0,20,8,0,0.506378147,0.493621853
29,38,143123,2,9,2,7,2,1,1,0,0,40,1,0,0.503052691,0.496947309
30,36,60269,1,13,2,6,2,1,1,0,0,40,1,1,0.499705556,0.500294444
31,33,82623,2,9,2,7,2,1,1,4386,0,48,1,1,0.49977221,0.50022779
32,40,99666,2,9,2,8,2,1,1,0,0,55,1,0,0.50090531,0.49909469
33,61,95680,2,10,2,10,2,3,1,0,0,40,1,0,0.502235516,0.497764484
34,44,208163,5,11,5,13,5,1,1,0,0,40,1,0,0.505241533,0.494758467
35,41,369781,2,9,2,2,2,1,1,0,0,55,1,1,0.499205616,0.500794384
36,17,311288,2,7,1,2,4,1,0,0,0,24,1,0,0.609893277,0.390106723
37,42,152889,2,10,2,7,2,1,1,0,0,52,1,0,0.500250855,0.499749145
38,38,160086,1,13,1,4,1,1,0,0,0,32,1,0,0.50566843,0.49433157
39,34,117963,3,14,2,4,2,1,1,0,0,43,1,1,0.497133537,0.502866463
40,33,186884,2,9,4,1,1,2,1,0,0,40,1,0,0.509146609,0.490853391
41,41,313830,2,9,1,4,1,1,0,0,0,40,1,0,0.507919883,0.492080117
42,31,212529,2,10,1,12,4,2,1,0,0,40,1,0,0.512268378,0.487731622
43,41,124330,2,10,2,6,3,1,0,0,0,30,1,0,0.502277242,0.497722758
44,53,104501,1,13,1,2,1,1,1,0,0,42,1,0,0.500602457,0.499397543
45,41,43501,2,10,2,11,2,1,1,0,0,40,1,0,0.501693103,0.498306897
46,24,83774,2,9,1,7,5,1,1,0,0,40,1,0,0.512224814,0.487775186
47,37,216845,10,1,2,9,2,1,1,0,0,40,6,0,0.510019818,0.489980182
48,45,168191,2,9,2,8,2,1,1,0,0,40,1,0,0.50174992,0.49825008
49,62,166894,2,9,2,7,2,1,1,0,0,60,1,0,0.501466664,0.498533336
50,31,110083,2,9,5,2,5,1,0,0,0,40,1,0,0.508965742,0.491034258
51,55,194371,2,9,2,6,3,1,0,0,0,40,11,1,0.499852808,0.500147192
52,36,125933,1,13,1,4,4,1,1,0,2258,40,1,0,0.504168793,0.495831207
53,22,444554,1,13,1,2,1,1,1,0,0,50,1,0,0.505301131,0.494698869
54,34,190228,2,10,1,1,4,1,1,0,0,40,1,0,0.509894966,0.490105034
55,27,604045,1,13,1,6,1,1,1,27828,0,40,1,1,0.489071284,0.510928716
56,36,241126,2,10,3,11,5,1,1,0,0,40,1,0,0.508175995,0.491824005
57,38,168355,2,9,2,7,2,1,1,0,0,48,1,0,0.501610469,0.498389531
58,48,158451,1,13,5,4,5,1,0,914,0,40,1,0,0.507461196,0.492538804
59,50,141608,2,9,5,5,5,1,0,0,0,45,1,0,0.509431159,0.490568841
60,36,33157,2,10,2,2,2,1,1,0,0,50,1,1,0.499256324,0.500743676
61,45,187563,2,9,2,7,2,1,1,5013,0,45,1,0,0.504002117,0.495997883
62,33,26252,5,12,1,5,5,4,0,0,0,40,1,0,0.511845171,0.488154829
63,32,318647,2,9,2,13,2,1,1,0,0,36,1,0,0.501745033,0.498254967
64,47,152572,2,9,1,5,5,1,0,0,0,40,8,0,0.510872818,0.489127182
65,30,77634,2,9,2,2,2,1,1,0,0,40,1,0,0.501677536,0.498322464
66,40,199513,3,14,3,2,1,1,1,0,1408,50,1,0,0.500569408,0.499430592
67,19,260327,2,10,1,5,4,1,0,0,0,18,1,0,0.522165496,0.477834504
68,23,437940,2,9,2,10,2,1,1,0,0,40,1,0,0.507588276,0.492411724
69,54,137069,2,15,2,2,2,3,1,0,0,40,4,1,0.494731651,0.505268349
70,34,32587,2,10,2,2,2,4,1,0,0,40,1,0,0.500698578,0.499301422
71,47,193960,2,10,2,6,2,1,1,7298,0,45,1,1,0.484068513,0.515931487
72,33,170651,1,13,2,2,3,1,0,0,1977,38,1,1,0.490069591,0.509930409
73,68,186163,9,2,7,12,5,2,0,0,0,40,1,0,0.513505979,0.486494021
74,39,114544,2,10,2,2,2,1,1,0,0,55,1,1,0.498551164,0.501448836
75,28,159724,1,13,4,6,1,1,0,0,0,50,1,0,0.507164689,0.492835311
76,63,697806,2,9,2,8,2,1,1,0,0,60,1,0,0.501466664,0.498533336
77,34,140011,2,9,1,7,4,1,1,0,0,45,1,0,0.509107451,0.490892549
78,53,411700,2,9,2,1,2,1,1,7298,0,40,1,1,0.486553209,0.513446791
79,26,179633,2,10,1,13,4,1,1,0,0,40,1,0,0.510702078,0.489297922
80,57,317690,3,14,2,2,2,1,1,7688,0,60,1,1,0.479831243,0.520168757
81,45,213334,3,14,1,4,1,1,0,0,0,45,1,0,0.502292914,0.497707086
82,41,165304,2,10,2,7,2,1,1,0,0,50,35,0,0.500250855,0.499749145
83,57,192325,2,9,7,5,5,1,0,0,0,42,1,0,0.50838967,0.49161033
84,53,385183,2,10,2,5,2,1,1,0,0,60,1,0,0.501488657,0.498511343
85,33,232650,1,13,2,6,2,1,1,0,0,40,1,0,0.500030065,0.499969935
86,47,182474,2,9,2,2,3,1,0,0,0,36,1,1,0.498543254,0.501456746
87,37,119992,8,6,2,9,2,1,1,0,0,40,1,0,0.50821405,0.49178595
88,26,376016,2,9,1,5,1,1,0,0,0,30,1,0,0.516265577,0.483734423
89,39,144638,3,14,3,4,1,1,0,0,0,45,1,0,0.502890536,0.497109464
90,48,113612,1,13,2,4,2,1,1,0,0,40,1,1,0.497903657,0.502096343
91,65,106161,5,12,2,12,2,1,1,0,0,40,1,0,0.503485608,0.496514392
92,36,48160,1,13,2,2,2,1,1,0,0,40,1,1,0.498396003,0.501603997
93,30,55176,2,9,2,7,2,1,1,0,0,30,1,0,0.505858237,0.494141763
94,21,291232,2,10,1,5,1,1,1,0,0,40,1,0,0.515636486,0.484363514
95,55,250149,2,10,2,4,2,1,1,0,0,40,1,0,0.500206226,0.499793774
96,62,221064,2,10,2,12,2,1,1,0,0,40,1,0,0.503485608,0.496514392
97,27,87745,5,11,2,9,2,1,1,0,0,70,1,0,0.506254477,0.493745523
98,35,97136,2,10,1,5,5,2,0,0,0,37,1,0,0.512339249,0.487660751
99,18,632271,2,10,4,1,6,1,0,0,0,40,32,0,0.606023048,0.393976952
100,18,295607,8,6,1,8,4,1,1,0,0,40,1,0,0.607709541,0.392290459
101,84,163443,6,4,7,12,1,1,1,0,0,3,1,0,0.516011632,0.483988368
102,78,213136,2,9,7,2,1,1,1,0,0,24,1,0,0.507599604,0.492400396
